"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 2420.78681679481, 582.349757271292, 2420.78681679481, 2489.84739535609, 44.1155185998244, 88.080834471777, 44.1155185998244
2, 2238.10715930862, 467.624499477301, 2420.78681679481, 2489.84739535609, 37.967841375499, 75.7046811338885, 44.1155185998244
3, 2175.57392645287, 435.339350150449, 2420.78681679481, 2489.84739535609, 36.0075132578562, 71.7608248635644, 44.1155185998244
4, 2085.47281918041, 379.238609561214, 2420.78681679481, 2489.84739535609, 33.3027597007446, 66.3184861678317, 44.1155185998244
5, 2074.76839111677, 372.587025224573, 2420.78681679481, 2489.84739535609, 32.9914403249212, 65.6921251540481, 44.1155185998244
6, 2153.58512269626, 421.62853566164, 2420.78681679481, 2489.84739535609, 35.333580986614, 70.4047149809448, 44.1155185998244
7, 1737.2405935155, 503.770139943106, 2420.78681679481, 2489.84739535609, 24.8522896891116, 48.2619622547617, 44.1155185998244
8, 1453.89609020542, 681.34345970614, 2420.78681679481, 2489.84739535609, 24.4831157452165, 46.5334552925317, 44.1155185998244
9, 1155.28508429429, 855.811700188186, 2420.78681679481, 2489.84739535609, 30.0906924493654, 56.9354386639886, 44.1155185998244
10, 157.502009876808, 1010.44252694523, 2420.78681679481, 2489.84739535609, 58.0999919356665, 112.982117909212, 58.0999919356665
11, -1318.03424796624, 1347.48085665738, 2420.78681679481, 2489.84739535609, 163.699219464112, 327.483494245739, 163.699219464112
12, -1696.78484925591, 1547.47891362961, 2420.78681679481, 2489.84739535609, 213.613555758921, 428.767173687275, 213.613555758921
13, -2244.93734616793, 1663.60122306723, 2420.78681679481, 2794.15688851043, 274.412354322521, 553.0262266728, 274.412354322521
14, -2261.52844007819, 1654.63021847113, 2420.78681679481, 2802.19771700005, 274.826329919739, 553.941919882528, 274.826329919739
15, -2176.17100607778, 1659.69550434586, 2420.78681679481, 2802.19771700005, 267.67818567683, 539.190582739724, 274.826329919739
16, -1664.15750602437, 1569.32240266128, 2420.78681679481, 2802.19771700005, 213.529473860355, 428.422135398467, 274.826329919739
17, -565.661536800051, 1376.63258017848, 2420.78681679481, 2802.19771700005, 118.993665744138, 235.534568205024, 274.826329919739
18, 1003.19784739426, 1134.54491232194, 2420.78681679481, 2802.19771700005, 44.5549294036137, 84.9335032140023, 274.826329919739
19, 2736.65611472005, 1115.39957073496, 2736.65611472005, 2955.2331367644, 57.6223293811588, 113.644530877517, 274.826329919739
20, 3286.28729717277, 1114.48750732752, 3286.28729717277, 3470.12486858156, 79.7165114033281, 159.728993020408, 274.826329919739
21, 3154.05425823443, 1028.47009653984, 3286.28729717277, 3470.12486858156, 73.2198223198884, 146.639747098797, 274.826329919739
22, 3154.01164984304, 1028.44421396753, 3286.28729717277, 3470.12486858156, 73.2170974698556, 146.633920903396, 274.826329919739
23, 2980.56527802621, 919.70988378007, 3286.28729717277, 3470.12486858156, 65.2063176694978, 130.496454331083, 274.826329919739
24, 2719.99141371758, 759.689388934949, 3286.28729717277, 3470.12486858156, 54.2427584757438, 108.416467065773, 274.826329919739
