Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
1, 2420.78633396269, 582.33695101621, 2420.78633396269, 2489.84393069513, 2376.69044390778, 1307.71308491138, 2376.69044390778, 2712.70547214602, 94.9258803409934, 0, 97.0004164844308, 0, 44.1150340462479, 88.068028257633, 44.1150340462479, 88.068028257633, 44.1150340462479, 88.068028257633, 0, 0, 44.1150340462479, 0, 44.1150160277111, 1.80185368304708E-005, 41.1377430426499, 1.41604158074018, 42.5537845968965, 1.5612314308146, 0, 0, 0, 0, 44.1150340462479, 0, 0, 0, 0, 0, 0, 44.1150160277111, 0, 0, 0, 0, 0, 0, 1.80185368304708E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2376.69044390778, 0, 0, 0, 0, 0, 0
2, 2238.10675236624, 467.613698282565, 2420.78633396269, 2489.84393069513, 2200.15451405742, 1210.78202435053, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 37.9674326811954, 75.6938799128147, 44.1150340462479, 88.068028257633, 37.9674326811954, 75.6938799128147, 0, 0, 44.1150340462479, 0, 37.9674167132757, 1.59679197262024E-005, 35.4273668401026, 1.20035558649084, 36.6277224034216, 1.33969430985406, 0, 0, 0, 0, 37.9674326811954, 0, 0, 0, 0, 0, 0, 37.9674167132757, 0, 0, 0, 0, 0, 0, 1.59679197262024E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2200.15451405742, 0, 0, 0, 0, 0, 0
3, 2175.57354338117, 435.329179579356, 2420.78633396269, 2489.84393069513, 2139.58450454013, 1177.48472580591, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 36.0071284353064, 71.7506543475517, 44.1150340462479, 88.068028257633, 36.0071284353064, 71.7506543475517, 0, 0, 44.1150340462479, 0, 36.0071132034487, 1.52318576540588E-005, 33.5858371598208, 1.14718559981532, 34.7330227374716, 1.27409046597714, 0, 0, 0, 0, 36.0071284353064, 0, 0, 0, 0, 0, 0, 36.0071132034487, 0, 0, 0, 0, 0, 0, 1.52318576540588E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2139.58450454013, 0, 0, 0, 0, 0, 0
4, 2085.47246965209, 379.229325625955, 2420.78633396269, 2489.84393069513, 2052.16118341638, 1129.47930113111, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 33.3024083955048, 66.3092021848052, 44.1150340462479, 88.068028257633, 33.3024083955048, 66.3092021848052, 0, 0, 44.1150340462479, 0, 33.3023940376136, 1.43578912102811E-005, 31.0772015524878, 1.0510242425962, 32.1282257743796, 1.17416826323395, 0, 0, 0, 0, 33.3024083955048, 0, 0, 0, 0, 0, 0, 33.3023940376136, 0, 0, 0, 0, 0, 0, 1.43578912102811E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2052.16118341638, 0, 0, 0, 0, 0, 0
5, 2074.76804544798, 372.577843521457, 2420.78633396269, 2489.84393069513, 2041.75559916893, 1123.77018510532, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 32.9910929219253, 65.6829435089415, 44.1150340462479, 88.068028257633, 32.9910929219253, 65.6829435089415, 0, 0, 44.1150340462479, 0, 32.9910786636634, 1.42582618243612E-005, 30.7885851418356, 1.03989359269098, 31.8284787139894, 1.16259994967407, 0, 0, 0, 0, 32.9910929219253, 0, 0, 0, 0, 0, 0, 32.9910786636634, 0, 0, 0, 0, 0, 0, 1.42582618243612E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2041.75559916893, 0, 0, 0, 0, 0, 0
6, 2153.58474795832, 421.618585778759, 2420.78633396269, 2489.84393069513, 2118.25949011935, 1165.77842612442, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 35.3332045220206, 70.3947651572472, 44.1150340462479, 88.068028257633, 35.3332045220206, 70.3947651572472, 0, 0, 44.1150340462479, 0, 35.3331895152299, 1.50067907452461E-005, 32.9605624115499, 1.12333507984787, 34.0838974695977, 1.24929204563225, 0, 0, 0, 0, 35.3332045220206, 0, 0, 0, 0, 0, 0, 35.3331895152299, 0, 0, 0, 0, 0, 0, 1.50067907452461E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2118.25949011935, 0, 0, 0, 0, 0, 0
7, 1737.24033391021, 503.763232569411, 2420.78633396269, 2489.84393069513, 2312.38836619901, 1272.69351864887, 2376.69044390778, 2712.70547214602, 0, 0, 0, 0, 24.8520283193585, 48.2550548656573, 44.1150340462479, 88.068028257633, 24.8520283193585, 48.2550548656573, 0, 0, 44.1150340462479, 0, 24.8520243429659, 3.97639263909334E-006, 22.1513774793119, 1.23046532503309, 23.3818427902287, 1.47018155273725, 599.999303809023, 0.00010209520110493, 599.999303809023, 599.999303809032, 24.8520283193585, 0, 0, 0, 0, 0, 0, 24.8520243429659, 0, 0, 0, 0, 0, 0, 3.97639263909334E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2312.38836619901, 0, 0, 0, 0, 0, 0
8, 1453.89587961899, 681.337848307373, 2420.78633396269, 2489.84393069513, 2629.41382648301, 1447.04052626558, 2629.41382648301, 3001.29028178798, 0, 0, 0, 0, 24.4829034063409, 46.5278438983491, 44.1150340462479, 88.068028257633, 24.4829034063409, 46.5278438983491, 0, 0, 44.1150340462479, 0, 24.4829019088077, 1.49753319415295E-006, 21.1112392355322, 1.48362039722124, 22.5948596183872, 1.88804229042052, 1199.99783035139, 0.000544600520259337, 1199.99783035139, 1199.99783035151, 24.4829034063409, 0, 0, 0, 0, 0, 0, 24.4829019088077, 0, 0, 0, 0, 0, 0, 1.49753319415295E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2629.41382648301, 0, 0, 0, 0, 0, 0
9, 1155.28490893903, 855.807019662347, 2420.78633396269, 2489.84393069513, 2925.20303146171, 1609.72295378591, 2925.20303146171, 3338.86519093209, 0, 0, 0, 0, 30.0905153071447, 56.9307581576127, 44.1150340462479, 88.068028257633, 30.0905153071447, 56.9307581576127, 0, 0, 44.1150340462479, 0, 30.0905088142214, 6.49292332192291E-006, 26.0236486670065, 1.74433135951907, 27.7679800061662, 2.32252880805524, 1800.00245208847, -0.000614009367149265, 1800.00245208847, 1800.00245208858, 30.0905153071447, 0, 0, 0, 0, 0, 0, 30.0905088142214, 0, 0, 0, 0, 0, 0, 6.49292332192291E-006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2925.20303146171, 0, 0, 0, 0, 0, 0
10, 157.501910942995, 1010.43986612358, 2420.78633396269, 2489.84393069513, 3099.40332851184, 1705.83394766753, 3099.40332851184, 3537.82001376628, 1.00385319938595, 0, 0.0442010462214918, 0, 58.0998912556412, 112.979457149114, 58.0998912556412, 112.979457149114, 58.0998912556412, 112.979457149114, 0, 0, 58.0998912556412, 0, 58.0998443899263, 4.68657149180556E-005, 53.7657322124082, 1.74357200470254, 55.5093041655497, 2.59054022437658, 3000.00029390045, -0.00128124795443364, 3000.00029390045, 3000.00029390072, 58.0998912556412, 0, 0, 0, 0, 0, 0, 58.0998443899263, 0, 0, 0, 0, 0, 0, 4.68657149180556E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3099.40332851184, 0, 0, 0, 0, 0, 0
