hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 2486.36, -3.1729, 2492.71, -122.242, 2497.95, 117.868, 1.28622E-011, -81.8699, 13.5644, 31.1931, 3.63798E-012, 0
0, 1200.00000, 2486.36, -3.17294, 2492.71, -122.242, 2497.95, 117.868, 8.13477E-012, 26.5651, 13.5643, 31.1932, 2.18279E-011, 0
0, 1800.00000, 2486.36, -3.17294, 2492.71, -122.242, 2497.95, 117.868, 1.55415E-011, -110.556, 13.5643, 31.1932, 1.31169E-011, -146.31
0, 2400.00000, 2488.49, -2.89376, 2485.76, -122.067, 2494.71, 118.032, 7.27596E-012, 180, 12.1806, 31.3676, 1.31169E-011, -33.6901
0, 3000.00000, 2488.48, -2.89385, 2485.76, -122.068, 2494.71, 118.032, 6.55846E-012, -123.69, 12.1807, 31.3676, 3.63798E-012, 180
1, 0.00000, 2488.48, -2.89385, 2485.76, -122.068, 2494.71, 118.032, 1.28622E-011, -98.1301, 12.1807, 31.3676, 1.45519E-011, -90
1, 600.00000, 2488.48, -2.89385, 2485.76, -122.068, 2494.71, 118.032, 6.55846E-012, -146.31, 12.1807, 31.3676, 1.62695E-011, 63.4349
1, 1200.00000, 2488.48, -2.89385, 2485.76, -122.068, 2494.71, 118.032, 1.81899E-012, 0, 12.1807, 31.3676, 7.27596E-012, 180
1, 1800.00000, 2499.71, -2.71983, 2491.56, -121.956, 2502.59, 118.136, 4.06738E-012, 153.435, 11.2297, 31.4794, 3.63798E-012, 0
1, 2400.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 1.06064E-011, -59.0362, 11.2296, 31.4794, 1.02898E-011, -45
1, 3000.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 1.81899E-012, 180, 11.2296, 31.4794, 1.02898E-011, -45
2, 0.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 4.06738E-012, -116.565, 11.2296, 31.4794, 8.13477E-012, -63.4349
2, 600.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 7.27596E-012, -90, 11.2296, 31.4794, 1.45519E-011, 0
2, 1200.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 9.09495E-012, -36.8699, 11.2296, 31.4794, 1.09139E-011, 180
2, 1800.00000, 2499.71, -2.71985, 2491.57, -121.956, 2502.58, 118.136, 5.45697E-012, -90, 11.2296, 31.4794, 7.27596E-012, 180
2, 2400.00000, 2487.58, -2.6597, 2493.79, -121.925, 2489.57, 118.185, 1.27329E-011, -90, 10.9168, 31.511, 0, 0
2, 3000.00000, 2487.58, -2.65979, 2493.8, -121.924, 2489.56, 118.185, 1.15043E-011, 108.435, 10.9165, 31.5111, 2.2129E-011, -99.4623
3, 0.00000, 2487.58, -2.65979, 2493.8, -121.924, 2489.56, 118.185, 2.57244E-012, -135, 10.9165, 31.5111, 1.02898E-011, 135
3, 600.00000, 2487.58, -2.65979, 2493.8, -121.924, 2489.56, 118.185, 2.57244E-012, 135, 10.9165, 31.5111, 1.31169E-011, -146.31
3, 1200.00000, 2487.58, -2.65979, 2493.8, -121.924, 2489.56, 118.185, 6.55846E-012, 146.31, 10.9165, 31.5111, 8.13477E-012, -63.4349
3, 1800.00000, 2493.04, -2.57459, 2496.67, -121.87, 2493.41, 118.236, 9.79556E-012, 111.801, 10.4488, 31.566, 1.02898E-011, -135
3, 2400.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 2.37167E-011, -94.3987, 10.4489, 31.566, 3.63798E-012, 180
3, 3000.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 1.02898E-011, 135, 10.4489, 31.566, 7.27596E-012, 0
4, 0.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 1.45519E-011, 90, 10.4489, 31.566, 1.62695E-011, -63.4349
4, 600.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 8.13477E-012, -116.565, 10.4489, 31.566, 7.27596E-012, 0
4, 1200.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 0, 0, 10.4489, 31.566, 0, 0
4, 1800.00000, 2493.05, -2.57455, 2496.67, -121.87, 2493.41, 118.236, 9.09495E-012, 90, 10.4489, 31.566, 1.09139E-011, 0
4, 2400.00000, 2493.69, -2.56449, 2497.01, -121.863, 2493.87, 118.242, 1.09139E-011, 90, 10.3933, 31.5726, 0, 0
4, 3000.00000, 2493.69, -2.56443, 2497.01, -121.863, 2493.87, 118.242, 5.45697E-012, -90, 10.3933, 31.5725, 0, 0
5, 0.00000, 2493.69, -2.56443, 2497.01, -121.863, 2493.87, 118.242, 2.57244E-012, -45, 10.3933, 31.5725, 8.13477E-012, -63.4349
5, 600.00000, 2493.69, -2.56443, 2497.01, -121.863, 2493.87, 118.242, 9.79556E-012, 111.801, 10.3933, 31.5725, 1.62695E-011, -116.565
5, 1200.00000, 2493.69, -2.56443, 2497.01, -121.863, 2493.87, 118.242, 1.31169E-011, -56.3099, 10.3933, 31.5725, 7.27596E-012, 180
5, 1800.00000, 2488.92, -2.63893, 2494.5, -121.911, 2490.5, 118.198, 1.45519E-011, 90, 10.8023, 31.5245, 7.27596E-012, 180
5, 2400.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 7.71732E-012, -45, 10.8022, 31.5245, 0, 0
5, 3000.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 2.57244E-012, -135, 10.8022, 31.5245, 8.13477E-012, 116.565
6, 0.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 1.15043E-011, -71.565, 10.8022, 31.5245, 7.27596E-012, 180
6, 600.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 0, 0, 10.8022, 31.5245, 1.62695E-011, 116.565
6, 1200.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 4.06738E-012, -63.4349, 10.8022, 31.5245, 3.63798E-012, 0
6, 1800.00000, 2488.92, -2.63896, 2494.5, -121.911, 2490.5, 118.198, 1.22022E-011, 116.565, 10.8022, 31.5245, 0, 0
6, 2400.00000, 2477.15, -2.82237, 2488.32, -122.029, 2482.22, 118.088, 2.57244E-012, 45, 11.8089, 31.4062, 8.13477E-012, 116.565
6, 3000.00000, 2477.15, -2.82247, 2488.32, -122.029, 2482.22, 118.088, 7.49989E-012, 165.964, 11.8087, 31.4062, 7.27596E-012, -90
7, 0.00000, 2477.15, -2.82247, 2488.32, -122.029, 2482.22, 118.088, 7.49989E-012, -104.036, 11.8087, 31.4062, 1.31169E-011, 146.31
7, 600.00000, 2477.15, -2.82247, 2488.32, -122.029, 2482.22, 118.088, 3.63798E-012, -90, 11.8087, 31.4062, 8.13477E-012, 116.565
7, 1200.00000, 2477.15, -2.82247, 2488.32, -122.029, 2482.22, 118.088, 9.79556E-012, -158.199, 11.8087, 31.4062, 3.63798E-012, 0
7, 1800.00000, 2472.95, -3.14322, 2478.12, -122.217, 2468.04, 117.902, 6.55846E-012, 146.31, 13.4936, 31.2177, 1.31169E-011, 146.31
7, 2400.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 1.31169E-011, 123.69, 13.4944, 31.2176, 1.45519E-011, -90
7, 3000.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 3.63798E-012, 90, 13.4945, 31.2176, 7.27596E-012, 180
8, 0.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 1.81899E-012, 180, 13.4945, 31.2176, 7.27596E-012, 0
8, 600.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 1.45519E-011, -90, 13.4945, 31.2176, 2.30086E-011, 18.4349
8, 1200.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 3.63798E-012, -90, 13.4945, 31.2176, 1.02898E-011, -45
8, 1800.00000, 2472.96, -3.14296, 2478.11, -122.217, 2468.04, 117.901, 2.57244E-012, -135, 13.4945, 31.2176, 1.45519E-011, -90
8, 2400.00000, 2469.76, -3.43592, 2468.26, -122.398, 2470.47, 117.716, 5.75215E-012, -161.565, 15.0752, 31.0368, 0, 0
8, 3000.00000, 2469.76, -3.43568, 2468.25, -122.398, 2470.49, 117.716, 1.81899E-012, -90, 15.0761, 31.0367, 1.31169E-011, -146.31
9, 0.00000, 2469.76, -3.43568, 2468.25, -122.398, 2470.49, 117.716, 4.06738E-012, -116.565, 15.0761, 31.0366, 8.13477E-012, -116.565
9, 600.00000, 2469.76, -3.43568, 2468.25, -122.398, 2470.49, 117.716, 9.09495E-012, 143.13, 15.0761, 31.0366, 7.27596E-012, 0
9, 1200.00000, 2469.76, -3.43568, 2468.25, -122.398, 2470.49, 117.716, 3.63798E-012, 90, 15.0761, 31.0366, 7.27596E-012, -90
9, 1800.00000, 2491.13, -3.5801, 2478.43, -122.481, 2494.54, 117.619, 5.14488E-012, 135, 15.8805, 30.9535, 1.62695E-011, -116.565
9, 2400.00000, 2491.14, -3.58008, 2478.43, -122.481, 2494.54, 117.619, 9.09495E-012, 90, 15.8805, 30.9536, 1.49998E-011, -75.9638
9, 3000.00000, 2491.14, -3.58007, 2478.43, -122.481, 2494.54, 117.619, 1.49998E-011, 104.036, 15.8805, 30.9536, 7.27596E-012, -90
10, 0.00000, 2491.14, -3.58007, 2478.43, -122.481, 2494.54, 117.619, 9.79556E-012, -111.801, 15.8805, 30.9536, 1.09139E-011, 180
10, 600.00000, 2491.14, -3.58007, 2478.43, -122.481, 2494.54, 117.619, 1.15043E-011, -71.565, 15.8805, 30.9536, 7.27596E-012, 0
10, 1200.00000, 2491.14, -3.58007, 2478.43, -122.481, 2494.54, 117.619, 1.46652E-011, -97.125, 15.8805, 30.9536, 8.13477E-012, 116.565
10, 1800.00000, 2491.14, -3.58007, 2478.43, -122.481, 2494.54, 117.619, 2.93303E-011, -82.875, 15.8805, 30.9536, 1.45519E-011, 0
10, 2400.00000, 2477.52, -3.78647, 2471.61, -122.613, 2485.2, 117.499, 9.09495E-012, 36.8699, 17.0108, 30.8206, 1.09139E-011, 180
10, 3000.00000, 2477.51, -3.7868, 2471.62, -122.613, 2485.19, 117.499, 2.57244E-012, 135, 17.0101, 30.8207, 1.02898E-011, 135
11, 0.00000, 2477.51, -3.78681, 2471.62, -122.613, 2485.19, 117.499, 1.15043E-011, -71.565, 17.0101, 30.8207, 8.13477E-012, -116.565
11, 600.00000, 2477.51, -3.78681, 2471.62, -122.613, 2485.19, 117.499, 1.81899E-012, 0, 17.0101, 30.8207, 0, 0
11, 1200.00000, 2477.51, -3.78681, 2471.62, -122.613, 2485.19, 117.499, 5.75215E-012, -161.565, 17.0101, 30.8207, 1.02898E-011, 135
11, 1800.00000, 2466.33, -3.95637, 2466.05, -122.722, 2477.54, 117.401, 1.67703E-011, -102.529, 17.9379, 30.7115, 1.81899E-011, 53.1301
11, 2400.00000, 2466.31, -3.95666, 2466.06, -122.722, 2477.53, 117.401, 5.14488E-012, -135, 17.9373, 30.7115, 8.13477E-012, 116.565
11, 3000.00000, 2466.31, -3.95666, 2466.06, -122.722, 2477.53, 117.401, 2.54659E-011, -90, 17.9373, 30.7115, 8.13477E-012, 63.4349
12, 0.00000, 2466.31, -3.95666, 2466.06, -122.722, 2477.53, 117.401, 5.45697E-012, 180, 17.9373, 30.7115, 7.27596E-012, 90
12, 600.00000, 2466.31, -3.95666, 2466.06, -122.722, 2477.53, 117.401, 1.09139E-011, 90, 17.9373, 30.7115, 7.27596E-012, 180
